Title,Type,Timestamp,Account Currency,Total Amount,Buy / Sell,Ticker,ISIN,Price per Share in Account Currency,Stamp Duty,Quantity,Venue,Order ID,Order Type,Instrument Currency,Total Shares Amount,Price per Share,FX Rate,Base FX Rate,FX Fee (BPS),FX Fee Amount,Dividend Ex Date,Dividend Pay Date,Dividend Eligible Quantity,Dividend Amount Per Share,Dividend Gross Distribution Amount,Dividend Net Distribution Amount,Dividend Withheld Tax Percentage,Dividend Withheld Tax Amount
ITV,DIVIDEND,2023-11-28T18:03:00.000Z,GBP,0.73,,ITV,GB0033986497,,,43.00000000,,,,GBP,,,,,,,2023-10-19,2023-11-28,43.00000000,0.01700000,,,0,0.00
BT,ORDER,2023-11-27T16:02:02.108Z,GBP,49.43,BUY,BT.A,GB0030913577,1.22950000,0.25,40.00000000,London Stock Exchange,B8Y2ZDZOTPDV,MARKET,GBP,49.18,1.22950000,,,0,,,,,,,,,
Foresight Solar,DIVIDEND,2023-11-24T21:53:00.000Z,GBP,0.26,,FSFL,JE00BD3QJR55,,,14.00000000,,,,GBP,,,,,,,2023-10-19,2023-11-24,14.00000000,0.01895000,,,0,0.00
Close Brothers Group,DIVIDEND,2023-11-24T18:03:00.000Z,GBP,2.25,,CBG,GB0007668071,,,5.00000000,,,,GBP,,,,,,,2023-10-19,2023-11-24,5.00000000,0.45000000,,,0,0.00
Tesco,DIVIDEND,2023-11-24T12:10:00.000Z,GBP,0.69,,TSCO,GB00BLGZ9862,,,18.00000000,,,,GBP,,,,,,,2023-10-12,2023-11-24,18.00000000,0.03850000,,,0,0.00
Pan African Resources,ORDER,2023-11-24T08:41:25.579Z,GBP,55.52,SELL,PAF,GB0004300496,0.16000000,0.00,347.00000000,London Stock Exchange - Aim MTF,FXU1WQGH0QMS,MARKET,GBP,55.52,0.16000000,,,0,,,,,,,,,
Greencoat UK,DIVIDEND,2023-11-24T00:48:00.000Z,GBP,0.28,,UKW,GB00B8SC6K54,,,13.00000000,,,,GBP,,,,,,,2023-11-09,2023-11-24,13.00000000,0.02190000,,,0,0.00
Dunelm Group,DIVIDEND,2023-11-20T14:17:00.000Z,GBP,1.08,,DNLM,GB00B1CKQ739,,,4.00000000,,,,GBP,,,,,,,2023-10-26,2023-11-20,4.00000000,0.27000000,,,0,0.00
Redrow,DIVIDEND,2023-11-16T17:22:00.000Z,GBP,1.40,,RDW,GB00BG11K365,,,7.00000000,,,,GBP,,,,,,,2023-09-21,2023-11-16,7.00000000,0.20000000,,,0,0.00
PayPal,ORDER,2023-11-16T16:47:22.058Z,GBP,93.85,BUY,PYPL,US70450Y1038,45.66776706,0.00,2.03491447,Multiple,ILGNUWKLCL4O,MARKET,USD,115.40,56.70882100,1.22949628,1.24179000,99,0.92,,,,,,,,
Computacenter,ORDER,2023-11-16T13:58:13.540Z,GBP,53.36,SELL,CCC,GB00BV9FP302,26.68000000,0.00,2.00000000,London Stock Exchange,KD1EH4YG22LP,MARKET,GBP,53.36,26.68000000,,,0,,,,,,,,,
Hotel Chocolat,ORDER,2023-11-16T13:56:19.422Z,GBP,206.63,SELL,HOTC,GB00BYZC3B04,3.62508772,0.00,57.00000000,London Stock Exchange - Aim MTF,TO4JC9SDRUYH,MARKET,GBP,206.63,3.62508772,,,0,,,,,,,,,
Coats Group,DIVIDEND,2023-11-15T17:10:00.000Z,GBP,0.73,,COA,GB00B4YZN328,,,111.00000000,,,,GBP,,,,,,,2023-10-19,2023-11-15,111.00000000,0.00663938,,,0,0.00
YouGov,ORDER,2023-11-13T12:03:22.024Z,GBP,48.10,BUY,YOU,GB00B1VQ6H25,9.62000000,0.00,5.00000000,London Stock Exchange - Aim MTF,9T22IYR1IXOE,MARKET,GBP,48.10,9.62000000,,,0,,,,,,,,,
Top up,TOP_UP,2023-11-13T12:02:55.012Z,GBP,50.00,,,,,,,,,,,,,,,,,,,,,,,,
M&G,DIVIDEND,2023-11-03T17:42:00.000Z,GBP,1.49,,MNG,GB00BKFB1C65,,,23.00000000,,,,GBP,,,,,,,2023-09-28,2023-11-03,23.00000000,0.06500000,,,0,0.00
Convatec,ORDER,2023-11-02T08:32:40.453Z,GBP,8.46,BUY,CTEC,GB00BD3VFW73,2.10500000,0.04,4.00000000,London Stock Exchange,E74T4DIVHDTN,MARKET,GBP,8.42,2.10500000,,,0,,,,,,,,,
October Statement,MONTHLY_STATEMENT,2023-11-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Medical Solutions,DIVIDEND,2023-10-27T23:19:00.000Z,GBP,0.14,,AMS,GB0004536594,,,20.00000000,,,,GBP,,,,,,,2023-09-28,2023-10-27,20.00000000,0.00700000,,,0,0.00
Learning Tech,DIVIDEND,2023-10-27T19:30:00.000Z,GBP,0.10,,LTG,GB00B4T7HX10,,,23.00000000,,,,GBP,,,,,,,2023-10-05,2023-10-27,23.00000000,0.00450000,,,0,0.00
Computacenter,DIVIDEND,2023-10-27T16:28:00.000Z,GBP,0.45,,CCC,GB00BV9FP302,,,2.00000000,,,,GBP,,,,,,,2023-09-28,2023-10-27,2.00000000,0.22600000,,,0,0.00
Midwich,DIVIDEND,2023-10-27T14:53:00.000Z,GBP,0.55,,MIDW,GB00BYSXWW41,,,10.00000000,,,,GBP,,,,,,,2023-09-21,2023-10-27,10.00000000,0.05500000,,,0,0.00
Unite Students,PROPERTY,2023-10-27T10:27:00.000Z,GBP,0.47,,UTG,GB0006928617,,,5.00000000,,,,GBP,,,,,,,2023-09-14,2023-10-27,5.00000000,0.11800000,,,20,0.12
